S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,4,310.00,129590.00,425.00,417.00,417.00
2,2010-04-20,16,390.00,155760.00,410.00,391.00,396.00
3,2010-04-21,24,620.00,238920.00,403.00,374.00,380.00
4,2010-04-22,4,240.00,92410.00,390.00,375.00,390.00
5,2010-04-25,8,570.00,219100.00,390.00,380.00,385.00
6,2010-04-26,5,80.00,30840.00,386.00,385.00,386.00
7,2010-04-28,4,90.00,35130.00,394.00,387.00,394.00
8,2010-04-29,6,280.00,113690.00,413.00,400.00,413.00
9,2010-04-15,2,30.00,12900.00,430.00,430.00,430.00
10,2010-05-09,1,40.00,16840.00,421.00,421.00,421.00
11,2010-05-10,14,360.00,153570.00,428.00,425.00,428.00
12,2010-05-11,21,580.00,260760.00,465.00,430.00,465.00
13,2010-05-12,46,2130.00,1037930.00,506.00,470.00,485.00
14,2010-05-13,32,1280.00,632550.00,503.00,490.00,494.00
15,2010-05-16,24,690.00,333870.00,500.00,454.00,472.00
16,2010-05-17,20,630.00,291550.00,465.00,460.00,465.00
17,2010-05-18,25,510.00,241290.00,488.00,465.00,479.00
18,2010-05-19,20,380.00,179540.00,475.00,469.00,475.00
19,2010-05-20,23,590.00,287070.00,492.00,480.00,490.00
20,2010-05-23,29,1160.00,575080.00,499.00,490.00,492.00
21,2010-05-24,12,340.00,167790.00,501.00,486.00,486.00
22,2010-05-25,31,1840.00,953680.00,530.00,495.00,510.00
23,2010-05-26,39,1596.00,829510.00,530.00,495.00,495.00
24,2010-05-30,3,320.00,163160.00,514.00,504.00,510.00
25,2010-05-31,30,888.00,453280.00,520.00,500.00,510.00
26,2010-06-01,53,1290.00,623790.00,500.00,477.00,482.00
27,2010-06-02,25,630.00,301330.00,485.00,476.00,481.00
28,2010-06-06,24,420.00,201220.00,485.00,475.00,485.00
29,2010-06-07,7,240.00,115700.00,485.00,480.00,480.00
30,2010-06-08,4,90.00,43650.00,485.00,485.00,485.00
31,2010-06-09,52,1294.00,630312.00,490.00,483.00,485.00
32,2010-06-10,74,2298.00,1103812.00,485.00,480.00,480.00
33,2010-06-13,85,1902.00,900262.00,480.00,468.00,470.00
34,2010-06-14,51,1212.00,568448.00,475.00,460.00,468.00
35,2010-06-15,62,1224.00,575616.00,475.00,467.00,470.00
36,2010-06-16,35,612.00,285016.00,470.00,460.00,465.00
37,2010-06-17,30,650.00,299096.00,476.00,453.00,466.00
38,2010-06-20,60,1674.00,779370.00,471.00,462.00,471.00
39,2010-06-21,24,610.00,284438.00,470.00,462.00,470.00
40,2010-06-22,72,1410.00,650928.00,470.00,442.00,464.00
41,2010-06-23,53,922.00,431810.00,470.00,462.00,470.00
42,2010-06-24,54,938.00,436322.00,470.00,463.00,470.00
43,2010-06-28,41,1240.00,573368.00,465.00,460.00,464.00
44,2010-06-29,34,776.00,356510.00,464.00,456.00,464.00
45,2010-06-30,24,546.00,251524.00,465.00,452.00,452.00
46,2010-07-01,29,834.00,385282.00,465.00,452.00,452.00
47,2010-07-04,82,1942.00,894164.00,466.00,455.00,460.00
48,2010-07-05,14,492.00,225618.00,462.00,450.00,462.00
49,2010-07-06,13,382.00,174908.00,470.00,455.00,457.00
50,2010-07-07,47,1086.00,500082.00,465.00,457.00,459.00
51,2010-07-08,45,1283.00,587768.00,459.00,455.00,457.00
52,2010-07-11,35,960.00,437978.00,464.00,450.00,464.00
53,2010-07-12,62,1512.00,692076.00,460.00,450.00,451.00
54,2010-07-13,19,490.00,217934.00,450.00,440.00,450.00
55,2010-07-14,78,1708.00,758310.00,449.00,430.00,449.00
56,2010-07-15,25,880.00,404512.00,460.00,456.00,460.00
57,2010-07-18,45,1500.00,688338.00,462.00,455.00,462.00
58,2010-07-19,15,378.00,173964.00,462.00,455.00,460.00
59,2010-07-20,32,812.00,371966.00,460.00,455.00,455.00
60,2010-07-21,33,672.00,310100.00,479.00,458.00,479.00
61,2010-07-22,26,524.00,248884.00,480.00,469.00,470.00
62,2010-07-25,27,474.00,219518.00,466.00,460.00,465.00
63,2010-07-26,3,84.00,38808.00,462.00,462.00,462.00
64,2010-07-27,47,876.00,408236.00,470.00,461.00,465.00
65,2010-07-28,21,370.00,171574.00,465.00,460.00,465.00
66,2010-07-29,27,490.00,223594.00,465.00,454.00,455.00
67,2010-08-01,71,1242.00,555154.00,455.00,441.00,448.00
68,2010-08-02,73,1190.00,530012.00,450.00,440.00,445.00
69,2010-08-03,31,546.00,243390.00,450.00,445.00,450.00
70,2010-08-04,50,842.00,379278.00,459.00,450.00,459.00
71,2010-08-05,29,1080.00,482162.00,459.00,435.00,452.00
72,2010-08-08,7,208.00,93824.00,454.00,450.00,454.00
73,2010-08-09,15,270.00,120360.00,450.00,441.00,443.00
74,2010-08-10,13,456.00,202864.00,451.00,441.00,451.00
75,2010-08-11,24,326.00,143712.00,443.00,435.00,441.00
76,2010-08-12,91,1372.00,611520.00,449.00,441.00,444.00
77,2010-08-15,6,108.00,47340.00,444.00,430.00,430.00
78,2010-08-16,25,422.00,182788.00,440.00,430.00,435.00
79,2010-08-17,42,1254.00,548520.00,440.00,430.00,432.00
80,2010-08-18,68,1274.00,550354.00,435.00,430.00,431.00
81,2010-08-19,27,894.00,380270.00,432.00,419.00,420.00
82,2010-08-22,31,1126.00,465532.00,420.00,409.00,410.00
83,2010-08-23,37,896.00,375494.00,426.00,410.00,426.00
84,2010-08-26,42,814.00,350528.00,440.00,426.00,440.00
85,2010-08-29,41,1152.00,501184.00,440.00,424.00,436.00
86,2010-08-30,48,1334.00,575472.00,436.00,416.00,416.00
87,2010-08-31,53,1356.00,575260.00,428.00,410.00,410.00
88,2010-09-02,7,192.00,79272.00,415.00,409.00,415.00
89,2010-09-05,13,260.00,101944.00,415.00,380.00,394.00
90,2010-09-06,22,532.00,212380.00,409.00,394.00,408.00
91,2010-09-07,31,980.00,398034.00,408.00,405.00,408.00
92,2010-09-08,54,1318.00,539690.00,415.00,408.00,409.00
93,2010-09-09,53,1368.00,556674.00,409.00,393.00,400.00
94,2010-09-12,74,1722.00,695100.00,406.00,397.00,400.00
95,2010-09-13,64,1470.00,592802.00,405.00,395.00,401.00
96,2010-09-14,94,2336.00,945376.00,409.00,400.00,403.00
97,2010-09-15,24,732.00,294284.00,406.00,400.00,406.00
98,2010-09-16,30,806.00,325788.00,410.00,400.00,400.00
99,2010-09-19,127,2990.00,1212328.00,413.00,400.00,411.00
100,2010-09-20,38,1014.00,437874.00,440.00,415.00,440.00
101,2010-09-21,57,1558.00,687780.00,445.00,433.00,440.00
102,2010-09-23,99,1960.00,837060.00,435.00,420.00,425.00
103,2010-09-26,78,1800.00,764354.00,430.00,422.00,423.00
104,2010-09-27,52,926.00,400044.00,443.00,417.00,443.00
105,2010-09-28,164,3644.00,1604976.00,443.00,433.00,442.00
106,2010-09-29,61,2076.00,918080.00,448.00,440.00,441.00
107,2010-09-30,70,1228.00,539490.00,442.00,433.00,442.00
108,2010-10-03,144,2608.00,1150724.00,445.00,434.00,442.00
109,2010-10-07,62,1996.00,949798.00,484.00,440.00,480.00
110,2010-10-10,74,1960.00,929280.00,480.00,470.00,476.00
111,2010-10-11,26,1818.00,854444.00,475.00,465.00,467.00
112,2010-10-12,46,2024.00,950520.00,474.00,465.00,465.00
113,2010-10-13,13,252.00,115710.00,462.00,457.00,460.00
114,2010-10-21,60,1936.00,896548.00,466.00,460.00,465.00
115,2010-10-24,68,1714.00,803746.00,474.00,465.00,470.00
116,2010-10-25,35,668.00,314216.00,487.00,466.00,476.00
117,2010-10-26,22,1282.00,610272.00,482.00,473.00,475.00
118,2010-10-27,37,1388.00,657516.00,481.00,470.00,470.00
119,2010-10-28,32,1342.00,635748.00,478.00,470.00,475.00
120,2010-10-31,64,1700.00,802046.00,477.00,464.00,475.00
121,2010-11-02,19,266.00,125748.00,475.00,470.00,475.00
122,2010-11-03,20,2432.00,1161580.00,483.00,475.00,475.00
123,2010-11-04,11,524.00,252050.00,485.00,475.00,482.00
124,2010-11-09,45,1400.00,665868.00,480.00,460.00,480.00
125,2010-11-10,21,748.00,362458.00,485.00,480.00,485.00
126,2010-11-11,22,656.00,315434.00,490.00,477.00,486.00
127,2010-11-14,103,3838.00,1993684.00,534.00,486.00,521.00
128,2010-11-15,166,5464.00,2859006.00,535.00,513.00,523.00
129,2010-11-16,211,6318.00,3194968.00,523.00,480.00,520.00
130,2010-11-18,525,14164.00,7335236.00,525.00,509.00,524.00
131,2010-11-22,7,232.00,110918.00,485.00,452.00,452.00
132,2010-11-24,7,860.00,389600.00,456.00,447.00,447.00
133,2010-11-25,1,20.00,8940.00,447.00,447.00,447.00
134,2010-11-29,10,246.00,110436.00,452.00,446.00,446.00
135,2010-11-30,2,400.00,176500.00,445.00,440.00,440.00
136,2010-12-02,25,728.00,321034.00,442.00,440.00,440.00
137,2010-12-05,4,248.00,108896.00,440.00,432.00,432.00
138,2010-12-06,4,66.00,27984.00,425.00,423.00,423.00
